Haltestellen_No;Y_Koord;X_Koord;Name;Bahnknoten;Bahnlinie_Anz;TramBus_Anz;Seilbahn_Anz;A_Intervall;B_Intervall;Hst_Kat
8576885;2628055.6959308465;1170322.378135079;Unterseen, Gelbenbrunnen;0;0;26;0;0;64.62;0
8576886;2628665.2580726463;1170186.1818243943;Unterseen, Manor Farm;0;0;26;0;0;64.62;0
8576887;2629617.9932691837;1170003.7031566154;Unterseen, Schiessstand Lehn;0;0;26;0;0;64.62;0
8576888;2630270.169760497;1170018.6235565317;Unterseen, Widimatt;0;0;26;0;0;64.62;0
8576889;2630769.9314011317;1170138.9986204817;Unterseen, Fussweg Spital;0;0;82;0;0;20.49;5
8576890;2607989.1408897354;1177552.004782358;Uebeschi, Kärselen;0;0;4;0;0;420;0
8576891;2613994.917308662;1235103.2165351887;Farnern, Jura;0;0;27;0;0;62.22;0
8576892;2615317.7421647096;1235147.8265343788;Rumisberg, Schoren;0;0;27;0;0;62.22;0
8576893;2615643.8614935298;1235225.942708276;Rumisberg, Weissacker;0;0;27;0;0;62.22;0
8576894;2614822.8936024094;1233742.8329173464;Wiedlisbach, Pflegeheim;0;0;29;0;0;57.93;5
8576895;2615500.8981075278;1233453.713630686;Wiedlisbach, Stockrain;0;0;29;0;0;57.93;5
8576896;2615733.214198585;1233570.9485013986;Wiedlisbach, Bahnhof;0;0;39;0;0;43.08;5
8576897;2615648.8229405666;1233075.8708893147;Wiedlisbach, Wangenstrasse;0;0;33;0;0;50.91;5
8576898;2616410.0195610244;1232007.9372946336;Wangen a.d.Aare, Aarenbrücke;0;0;33;0;0;50.91;5
8576899;2616433.064241189;1231531.2689462707;Wangen a.d.Aare, Zytglogge;0;0;75;0;0;22.4;5
8576900;2616440.704038544;1231232.2213470142;Wangen an der Aare, Bahnhof;0;0;94;0;0;17.87;4
8576901;2616033.0158995073;1230036.728315278;Wangenried, Unterdorf;0;0;22;0;0;76.36;0
